,Unnamed: 0,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,label,clean_review
0,0,"Bánh rất nhiều tôm to, tôm giòn nằm chễm chệ trên vỏ bánh mềm thơm ngon. Món ăn thuộc loại rolling in the deep, nghĩa là cuốn với rau, dưa chuột, giá, vỏ bánh mềm. Ngoài ra, đặc biệt không thể thiếu của món ăn là nước chấm chua cay rất Bình Định, vừa miệng đến khó tả. Đặc biệt, quán có sữa ngô tuyệt đỉnh, kết hợp Combo với bánh xèo cuốn này tạo thành một cặp trời sinh. Ai không thích tôm nhảy, có thể đổi sang bò hoặc mực cũng ngon không kém.",0,0,0,5,0,0,{an_uong#very_positive},bánh rất nhiều tôm to tôm giòn nằm chễm_chệ trên vỏ bánh mềm thơm ngon món ăn thuộc loại rolling in the deep nghĩa_là cuốn với rau_dưa chuột giá vỏ bánh mềm ngoài_ra đặc_biệt không_thể thiếu của món ăn là nước_chấm chua_cay rất bình_định vừa_miệng đến khó tả đặc_biệt quán có sữa ngô tuyệt_đỉnh kết_hợp combo với bánh_xèo cuốn này tạo thành một cặp trời sinh ai không thích tôm nhảy có_thể đổi sang bò hoặc mực cũng ngon không kém
1,1,"Đi Quy Nhơn cứ lo không có pizza ăn nhưng nhờ có foody nên đã tìm ra quán này nèeee 😆 Review tốt nên mình cũng rất háo hức và wow đúng là tốt thật á mọi người! 1st impression là quán cách ksan mình 200m )))), gần biển nữa. Đồ ăn ngon, hợp khẩu vị. Gnocchi sốt ngon, pizza thơm, phô mai ngậy, size 25cm mà chưa đến 150k @@ xỉu vì rẻ là có thiệt và sườn ăn vừa miệng. Cheesecake ăn chua chua còn brownie thì hơi cứng xíu, ncl ngon. Staff nice cực kì xong còn giới thiệu con chó giống gì này nọ cho mình nữa )))) Con bulldog tên Jimmy gì ó thì cute thực sự cứ ngồi chực ăn hôi buồn cười lắm 😅 Ăn 5 người thiệt hại 698k thôi (gồm cả nước). Chốt lại là kết quán này luôn sau này đến QN phải kéo thêm người đến mới được keke",0,0,0,5,0,0,{an_uong#very_positive},đi quy nhơn cứ lo không có pizza ăn nhưng nhờ có foody nên đã tìm ra quán này nèeee grinning squinting face review tốt nên mình cũng rất háo_hức và wow đúng là tốt thật á mọi người 1st impression là quán cách khách _ sạnan mình 200m gần biển nữa đồ_ăn ngon hợp_khẩu vị gnocchi sốt ngon pizza thơm phô_mai ngậy size 25cm mà chưa đến 150k xỉu vì rẻ là có thiệt và sườn ăn vừa_miệng cheesecake ăn chua_chua còn brownie thì hơi cứng xíu ncl ngon staff nice cực_kì xong còn giới_thiệu con chó giống gì này_nọ cho mình nữa con bulldog tên jimmy gì ó thì cute thực_sự cứ ngồi chực ăn hôi buồn_cười lắm grinning face with sweat ăn 5 người thiệt_hại 698k thôi gồm cả nước chốt lại là kết quán này luôn sau_này đến qn phải kéo thêm người đến mới được keke
2,2,"các món ăn ở đây không có gì đặc sắc, có lẽ nấu theo kiểu nhà hàng cho khách tây, nên các món không có j đặc trưng, nhiều món nhưng tầm thường, nêm nếm rất lạt lẽo, không đúng khẩu vị Việt",0,0,1,1,0,0,"{nha_hang#very_negative}, {an_uong#very_negative}",các món ăn_ở đây không có gì đặc_sắc có_lẽ nấu theo kiểu nhà_hàng cho khách tây nên các món không có j đặc_trưng nhiều món nhưng tầm_thường nêm nếm rất lạt_lẽo không đúng khẩu_vị việt
3,3,"Lần thứ 2 quay lại đây, vì giới thiệu quán cà phê rộng nhất quy nhơn nên mình mới đưa bạn tới đây chứ thật sự thì có rất nhiều lựa chọn khác tốt hơn, thật sự thì green chỉ được cái không gian rộng , đẹp chứ đồ uống thì fail hoàn toàn, sinh tố cam thì chua lè kiểu như pha nước chứ chắc chắn không phải nguyên chất cam, sinh tố cà chua và dứa cũng tương tự, lần trước uống capuchino dở rồi nên rút kinh nghiệm không kêu mấy món đó nữa :)) . Thái độ nhân viên không thân thiện, gặp khách không cười . Khách đang uống thì đem chổi ra lau rất mất thiện cảm.",0,0,0,2,0,0,{an_uong#negative},lần thứ 2 quay lại đây vì giới_thiệu quán cà_phê rộng nhất quy nhơn nên mình mới đưa bạn tới đây chứ thật_sự thì có rất nhiều lựa_chọn khác tốt hơn thật_sự thì green chỉ được cái không_gian rộng đẹp chứ đồ uống thì fail hoàn_toàn sinh_tố cam thì chua_lè kiểu như pha nước chứ chắc_chắn không phải nguyên_chất cam sinh_tố cà_chua và dứa cũng tương_tự lần trước uống capuchino dở rồi nên rút kinh_nghiệm không kêu mấy món đó nữa thái_độ nhân_viên không thân_thiện gặp khách không cười khách đang uống thì đem chổi ra lau rất mất thiện_cảm
4,4,Rất khuyên bạn nên ghé thăm quán bar thể thao này,3,0,0,0,0,0,{giai_tri#neutral},rất khuyên bạn nên ghé thăm quán bar thể_thao này
5,5,Chợ khu 2. Khu vực bán đồ ăn và các đồ khác. Đồ cũng tưoi. Nhiều khách du lịch ghé mua. Nằm đường nguyễn huệ.,0,0,0,0,0,5,{mua_sam#very_positive},chợ khu 2 khu_vực bán đồ_ăn và các đồ khác đồ cũng tưoi nhiều khách du_lịch ghé mua nằm đường nguyễn_huệ
6,6,"Đồ ăn hải sản tươi ngon, các món canh nấu rất tuyệt. Giá cả hợp lý cũng ko rẻ, không đắt.",0,0,0,5,0,0,{an_uong#very_positive},đồ_ăn hải_sản tươi ngon các món canh nấu rất tuyệt giá_cả hợp_lý cũng ko rẻ không đắt
7,7,"Tôi bắt xe 7 chỗ đi từ sân bay về nhà.Thái độ của tài xế không vui vẻ khi đón chúng tôi.mặt thì nhăn nhó thái độ thì lơ lơ.gia đình đi 
7 người.tài xe mở cốp xe rồi để tôi tự xếp hành lý vào.sau đó dẹp lun 2 ghế sau để chất vali lên.5 người trong gia đình phải dồn vô ngồi ghế giữa. 2 người ngồi ghế trước.lên xe thì nóng.tôi yêu cầu tài xế mở máy lạnh thì tài xế bảo cả sáng h đậu ngoài nắng nên nóng.chạy
 10p vẫn chưa thấy mở máy lạnh.mà trong xe nóng như cái lò 5 người ngồi chen nhau.hỏi tiếp thì không trả lời.sau đó mình yêu cầu nhiều quá mới kêu đang mở.về gần đến nhà mới thấy quạt nó thổi mát được xíu.ngồi trên xe 30p mà như cực hình.yêu cầu công ty xem xét lại thái độ làm việc của tài xế chạy xe 6898 lúc 10h sáng ngày 10 tháng 7.nghiêm túc phê bình.",1,0,0,0,1,0,"{giai_tri#very_negative}, {di_chuyen#very_negative}",tôi bắt xe 7 chỗ đi từ sân_bay về nhàthái độ của tài_xế không vui_vẻ khi đón chúng tôimặt thì nhăn_nhó thái_độ thì lơ lơgia đình đi 7 ngườitài xe mở cốp xe rồi để tôi tự xếp hành_lý vàosau đó dẹp lun 2 ghế sau để chất vali lên5 người trong gia_đình phải dồn vô ngồi ghế giữa 2 người ngồi ghế trướclên xe thì nóngtôi yêu_cầu tài_xế mở máy_lạnh thì tài_xế bảo cả sáng h đậu ngoài nắng nên nóngchạy 10p vẫn chưa thấy mở máy lạnhmà trong xe nóng như cái lò 5 người ngồi chen nhauhỏi tiếp thì không trả lờisau đó mình yêu_cầu nhiều quá mới kêu đang mởvề gần đến nhà mới thấy quạt nó thổi mát được xíungồi trên xe 30p mà như cực hìnhyêu cầu công_ty xem_xét lại thái_độ làm_việc của tài_xế chạy xe 6898 lúc 10h sáng ngày 10 tháng 7nghiêm túc phê_bình
8,8,"Bãi Đá Trứng có những viên đá hình tròn hoặc bầu dục giống trứng khủng long trong thời cổ đại. Nơi đây rất phù hợp cho các tín đồ mê “tự sướng” kỷ niệm. Bãi đá khá nhỏ, nhưng cũng đáng để bạn trải nghiệm khi đến Quy Nhơn. Lối vào bãi trứng mát mẻ và còn hoang sơ. 2 bên đường rợp bóng cây và có các quán Cafe để bạn dừng chân nghỉ ngơi thư giãn. Tới đây bạn có thể gửi xe và đi bộ tham quan các địa điểm liền kề như Hòn Chồng, Đền thờ Hàn Mặc Tử, Bãi Hoàng Hậu...",5,0,0,0,0,0,{giai_tri#very_positive},bãi đá trứng có những viên đá hình_tròn hoặc bầu_dục giống trứng khủng_long trong thời cổ_đại nơi đây rất phù_hợp cho các tín_đồ mê tự sướng kỷ_niệm bãi đá khá nhỏ nhưng cũng đáng để bạn trải_nghiệm khi đến quy nhơn lối vào bãi trứng mát_mẻ và còn hoang_sơ 2 bên đường rợp bóng cây và có các quán cafe để bạn dừng chân nghỉ_ngơi thư_giãn tới đây bạn có_thể gửi xe và đi bộ tham_quan các địa_điểm liền kề như hòn chồng đền thờ hàn mặc tử bãi hoàng_hậu
9,9,"Tàu cá và tàu du lịch chung một chỗ nên rất mùi, giờ còn đang xây dựng nữa nên đường đi vào khá bẩn
",0,0,0,0,0,0,{giai_tri#very_positive},tàu cá và tàu du_lịch chung một chỗ nên rất mùi giờ còn đang xây_dựng nữa nên đường đi vào khá bẩn
